t_sec,kind,file,mode,style,factor,type,loc1,loc2,sigma,clean_value,bad_value,error,error_sigmas,pos
46.000,pmu,pmu/pmu_t00046_00.dat,persistent,negate,-1.0,Imag,20,18,0.000153,0.47785,-0.47785,-0.9557,-6246.40522875817,23
47.000,pmu,pmu/pmu_t00047_00.dat,persistent,negate,-1.0,Imag,20,18,0.000153,0.47712,-0.47712,-0.95424,-6236.862745098038,24
47.000,pmu,pmu/pmu_t00047_00.dat,transient,negate,-1.0,Iang,20,18,0.00018,0.44398,-0.44398,-0.88796,-4933.11111111111,39
48.000,pmu,pmu/pmu_t00048_00.dat,persistent,negate,-1.0,Imag,20,18,0.000153,0.47774,-0.47774,-0.95548,-6244.967320261438,23
49.000,pmu,pmu/pmu_t00049_00.dat,persistent,negate,-1.0,Imag,20,18,0.000153,0.48329,-0.48329,-0.96658,-6317.516339869281,22
49.000,pmu,pmu/pmu_t00049_00.dat,transient,scale,29.72586119967626,Iang,14,20,0.0002,-0.98993,-29.426521777395518,-28.436591777395517,-142182.95888697758,41
50.000,pmu,pmu/pmu_t00050_00.dat,persistent,negate,-1.0,Imag,20,18,0.000153,0.48453,-0.48453,-0.96906,-6333.725490196079,22
50.000,scada,scada/scada_t00050_00.dat,persistent,negate,-1.0,Pflow,9,13,0.019328,0.40425,-0.40425,-0.8085,-41.83050496688741,45
50.000,scada,scada/scada_t00050_00.dat,transient,negate,-1.0,Pinj,1,,0.017117,5.89883,-5.89883,-11.79766,-689.2364316176901,20
51.000,pmu,pmu/pmu_t00051_00.dat,persistent,negate,-1.0,Imag,20,18,0.000153,0.48837,-0.48837,-0.97674,-6383.921568627451,24
52.000,pmu,pmu/pmu_t00052_00.dat,persistent,negate,-1.0,Imag,20,18,0.000153,0.4928,-0.4928,-0.9856,-6441.830065359477,21
52.000,pmu,pmu/pmu_t00052_00.dat,transient,negate,-1.0,Imag,2,4,0.000408,1.33638,-1.33638,-2.67276,-6550.882352941176,13
53.000,pmu,pmu/pmu_t00053_00.dat,persistent,negate,-1.0,Imag,20,18,0.000153,0.49887,-0.49887,-0.99774,-6521.176470588235,20
54.000,pmu,pmu/pmu_t00054_00.dat,persistent,negate,-1.0,Imag,20,18,0.000153,0.50673,-0.50673,-1.01346,-6623.921568627451,22
55.000,pmu,pmu/pmu_t00055_00.dat,persistent,negate,-1.0,Imag,20,18,0.000153,0.51259,-0.51259,-1.02518,-6700.522875816993,23
55.000,pmu,pmu/pmu_t00055_00.dat,transient,negate,-1.0,Vang,5,,8.7e-05,-0.08359,0.08359,0.16718,1921.6091954022988,7
55.000,scada,scada/scada_t00055_00.dat,persistent,negate,-1.0,Pflow,9,13,0.019328,0.39879,-0.39879,-0.79758,-41.265521523178805,45
56.000,pmu,pmu/pmu_t00056_00.dat,persistent,negate,-1.0,Imag,20,18,0.000153,0.51633,-0.51633,-1.03266,-6749.411764705882,21
57.000,pmu,pmu/pmu_t00057_00.dat,persistent,negate,-1.0,Imag,20,18,0.000153,0.52589,-0.52589,-1.05178,-6874.37908496732,24
58.000,pmu,pmu/pmu_t00058_00.dat,persistent,negate,-1.0,Imag,20,18,0.000153,0.53987,-0.53987,-1.07974,-7057.1241830065355,23
59.000,pmu,pmu/pmu_t00059_00.dat,persistent,negate,-1.0,Imag,20,18,0.000153,0.54818,-0.54818,-1.09636,-7165.751633986928,23
60.000,pmu,pmu/pmu_t00060_00.dat,persistent,negate,-1.0,Imag,20,18,0.000153,0.55579,-0.55579,-1.11158,-7265.228758169935,24
60.000,pmu,pmu/pmu_t00060_00.dat,transient,negate,-1.0,Vang,11,,0.000103,-0.16014,0.16014,0.32028,3109.5145631067962,10
60.000,scada,scada/scada_t00060_00.dat,persistent,negate,-1.0,Pflow,9,13,0.019328,0.43663,-0.43663,-0.87326,-45.18108443708609,45
