t_sec,lambda,pf_converged,pf_max_mismatch,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,Vang_rad1,Vang_rad2,Vang_rad3,Vang_rad4,Vang_rad5,Vang_rad6,Vang_rad7,Vang_rad8,Vang_rad9,Vang_rad10,Vang_rad11,Vang_rad12,Vang_rad13,Vang_rad14,Vang_rad15,Vang_rad16,Vang_rad17,Vang_rad18,Vang_rad19,Vang_rad20
41.000,0.89309,1,1.479e-13,1.060000,1.030000,1.016021,0.973049,1.042000,1.025000,1.037000,1.018275,0.984379,0.982528,0.989071,1.047000,1.036931,1.043000,1.013304,0.995060,1.017927,1.026838,0.989255,1.001840,0.000000,-0.042388,-0.115637,-0.097613,-0.079015,-0.012687,-0.096283,-0.112071,-0.012658,-0.158526,-0.136707,-0.052406,-0.057479,-0.068329,-0.034402,-0.170647,-0.052955,-0.103195,-0.039594,-0.062612
42.000,0.88620,1,6.645e-11,1.060000,1.030000,1.016866,0.973730,1.042000,1.025000,1.037000,1.018774,0.985357,0.983842,0.989455,1.047000,1.037497,1.043000,1.013549,0.995385,1.018203,1.026908,0.989568,1.002145,0.000000,-0.041996,-0.114584,-0.096762,-0.078412,-0.012355,-0.095553,-0.111197,-0.012326,-0.157189,-0.135343,-0.051906,-0.056741,-0.067826,-0.034170,-0.169176,-0.052591,-0.102423,-0.039058,-0.062145
43.000,0.88997,1,4.893e-12,1.060000,1.030000,1.016427,0.973364,1.042000,1.025000,1.037000,1.018503,0.984843,0.983089,0.989237,1.047000,1.037219,1.043000,1.013420,0.995209,1.018046,1.026864,0.989393,1.001971,0.000000,-0.042209,-0.115141,-0.097230,-0.078748,-0.012554,-0.095954,-0.111672,-0.012531,-0.157945,-0.136128,-0.052198,-0.057176,-0.068106,-0.034308,-0.169997,-0.052784,-0.102841,-0.039370,-0.062399
44.000,0.88278,1,5.562e-11,1.060000,1.030000,1.017233,0.974079,1.042000,1.025000,1.037000,1.019042,0.985812,0.984455,0.989640,1.047000,1.037741,1.043000,1.013673,0.995547,1.018346,1.026945,0.989726,1.002302,0.000000,-0.041815,-0.114125,-0.096364,-0.078111,-0.012212,-0.095179,-0.110730,-0.012177,-0.156545,-0.134703,-0.051691,-0.056387,-0.067556,-0.034037,-0.168508,-0.052400,-0.102021,-0.038811,-0.061896
45.000,0.87715,1,2.436e-11,1.060000,1.030000,1.017893,0.974617,1.042000,1.025000,1.037000,1.019483,0.986616,0.985561,0.989931,1.047000,1.038204,1.043000,1.013878,0.995806,1.018558,1.026997,0.989992,1.002562,0.000000,-0.041503,-0.113314,-0.095685,-0.077537,-0.011993,-0.094448,-0.109959,-0.011957,-0.155353,-0.133700,-0.051322,-0.055833,-0.066991,-0.033699,-0.167330,-0.051928,-0.101228,-0.038417,-0.061363
46.000,0.88030,1,2.818e-12,1.060000,1.030000,1.017509,0.974352,1.042000,1.025000,1.037000,1.019267,0.986196,0.984991,0.989751,1.047000,1.037984,1.043000,1.013763,0.995676,1.018422,1.026952,0.989843,1.002402,0.000000,-0.041672,-0.113796,-0.096048,-0.077797,-0.012161,-0.094762,-0.110339,-0.012132,-0.155931,-0.134354,-0.051548,-0.056202,-0.067208,-0.033788,-0.167971,-0.052064,-0.101549,-0.038684,-0.061549
47.000,0.87904,1,9.592e-14,1.060000,1.030000,1.017674,0.974472,1.042000,1.025000,1.037000,1.019365,0.986343,0.985208,0.989833,1.047000,1.038035,1.043000,1.013808,0.995730,1.018459,1.026959,0.989906,1.002454,0.000000,-0.041615,-0.113595,-0.095931,-0.077673,-0.012100,-0.094600,-0.110168,-0.012061,-0.155686,-0.134073,-0.051501,-0.056040,-0.067085,-0.033715,-0.167792,-0.051947,-0.101370,-0.038581,-0.061429
48.000,0.88066,1,1.794e-13,1.060000,1.030000,1.017498,0.974309,1.042000,1.025000,1.037000,1.019236,0.986091,0.984909,0.989749,1.047000,1.037889,1.043000,1.013756,0.995655,1.018383,1.026925,0.989825,1.002376,0.000000,-0.041703,-0.113816,-0.096115,-0.077740,-0.012170,-0.094642,-0.110393,-0.012131,-0.155920,-0.134368,-0.051598,-0.056215,-0.067066,-0.033638,-0.168090,-0.051869,-0.101383,-0.038705,-0.061388
49.000,0.89003,1,1.876e-10,1.060000,1.030000,1.016400,0.973435,1.042000,1.025000,1.037000,1.018532,0.984767,0.983144,0.989241,1.047000,1.037149,1.043000,1.013405,0.995231,1.018025,1.026850,0.989392,1.001954,0.000000,-0.042221,-0.115180,-0.097252,-0.078698,-0.012585,-0.095881,-0.111624,-0.012554,-0.157865,-0.136149,-0.052261,-0.057208,-0.068028,-0.034213,-0.170092,-0.052677,-0.102750,-0.039403,-0.062311
50.000,0.89187,1,2.943e-13,1.060000,1.030000,1.016220,0.973252,1.042000,1.025000,1.037000,1.018386,0.984489,0.982727,0.989153,1.047000,1.036980,1.043000,1.013344,0.995149,1.017962,1.026838,0.989311,1.001873,0.000000,-0.042297,-0.115393,-0.097420,-0.078934,-0.012620,-0.096192,-0.111876,-0.012586,-0.158334,-0.136421,-0.052313,-0.057350,-0.068299,-0.034416,-0.170351,-0.052923,-0.103097,-0.039491,-0.062573
51.000,0.89800,1,4.082e-11,1.060000,1.030000,1.015470,0.972641,1.042000,1.025000,1.037000,1.017924,0.983577,0.981580,0.988816,1.047000,1.036439,1.043000,1.013122,0.994855,1.017731,1.026784,0.989053,1.001594,0.000000,-0.042648,-0.116318,-0.098188,-0.079545,-0.012885,-0.096978,-0.112683,-0.012847,-0.159586,-0.137588,-0.052749,-0.057977,-0.068902,-0.034774,-0.171684,-0.053428,-0.103956,-0.039924,-0.063146
52.000,0.90593,1,9.116e-11,1.060000,1.030000,1.014556,0.971859,1.042000,1.025000,1.037000,1.017352,0.982525,0.980103,0.988386,1.047000,1.035863,1.043000,1.012836,0.994481,1.017419,1.026709,0.988659,1.001243,0.000000,-0.043086,-0.117465,-0.099155,-0.080278,-0.013270,-0.097897,-0.113682,-0.013243,-0.161143,-0.139122,-0.053330,-0.058840,-0.069579,-0.035136,-0.173366,-0.053952,-0.104950,-0.040567,-0.063783
53.000,0.91681,1,3.711e-10,1.060000,1.030000,1.013254,0.970829,1.042000,1.025000,1.037000,1.016538,0.980994,0.978075,0.987788,1.047000,1.034973,1.043000,1.012456,0.993980,1.016989,1.026603,0.988157,1.000742,0.000000,-0.043688,-0.119075,-0.100470,-0.081338,-0.013758,-0.099257,-0.115099,-0.013732,-0.163335,-0.141202,-0.054093,-0.059966,-0.070619,-0.035756,-0.175665,-0.054786,-0.106428,-0.041384,-0.064761
54.000,0.92979,1,6.755e-10,1.060000,1.030000,1.011744,0.969584,1.042000,1.025000,1.037000,1.015562,0.979158,0.975623,0.987081,1.047000,1.033928,1.043000,1.011989,0.993376,1.016479,1.026478,0.987564,1.000133,0.000000,-0.044394,-0.120941,-0.102024,-0.082664,-0.014324,-0.100980,-0.116793,-0.014307,-0.166027,-0.143642,-0.054984,-0.061326,-0.071983,-0.036605,-0.178374,-0.055910,-0.108318,-0.042338,-0.066049
