t_sec,lambda,pf_converged,pf_max_mismatch,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,Vang_rad1,Vang_rad2,Vang_rad3,Vang_rad4,Vang_rad5,Vang_rad6,Vang_rad7,Vang_rad8,Vang_rad9,Vang_rad10,Vang_rad11,Vang_rad12,Vang_rad13,Vang_rad14,Vang_rad15,Vang_rad16,Vang_rad17,Vang_rad18,Vang_rad19,Vang_rad20
20.000,1.08637,1,3.833e-10,1.060000,1.030000,0.992661,0.953769,1.042000,1.025000,1.037000,1.003337,0.955896,0.944361,0.977973,1.047000,1.020425,1.043000,1.006308,0.985556,1.010056,1.024749,0.980203,0.992861,0.000000,-0.053239,-0.144391,-0.121426,-0.097780,-0.021878,-0.120182,-0.137677,-0.021984,-0.198486,-0.174560,-0.066501,-0.079035,-0.086583,-0.044961,-0.212205,-0.067337,-0.129096,-0.054697,-0.079681
21.000,1.08715,1,2.043e-14,1.060000,1.030000,0.992548,0.953705,1.042000,1.025000,1.037000,1.003257,0.955771,0.944241,0.977920,1.047000,1.020357,1.043000,1.006274,0.985518,1.010015,1.024741,0.980189,0.992833,0.000000,-0.053296,-0.144528,-0.121542,-0.097816,-0.021919,-0.120218,-0.137813,-0.022029,-0.198588,-0.174734,-0.066577,-0.079140,-0.086581,-0.044922,-0.212422,-0.067311,-0.129133,-0.054747,-0.079680
22.000,1.07934,1,1.209e-10,1.060000,1.030000,0.993520,0.954515,1.042000,1.025000,1.037000,1.003857,0.956890,0.945859,0.978406,1.047000,1.020982,1.043000,1.006569,0.985925,1.010336,1.024817,0.980537,0.993199,0.000000,-0.052861,-0.143342,-0.120574,-0.096958,-0.021515,-0.119076,-0.136801,-0.021606,-0.196837,-0.173117,-0.065984,-0.078199,-0.085645,-0.044309,-0.210720,-0.066519,-0.127859,-0.054116,-0.078784
23.000,1.07171,1,1.039e-10,1.060000,1.030000,0.994454,0.955358,1.042000,1.025000,1.037000,1.004492,0.958035,0.947379,0.978870,1.047000,1.021650,1.043000,1.006848,0.986344,1.010655,1.024913,0.980911,0.993551,0.000000,-0.052406,-0.142191,-0.119574,-0.096294,-0.021117,-0.118254,-0.135730,-0.021199,-0.195333,-0.171558,-0.065373,-0.077288,-0.085058,-0.044028,-0.208983,-0.066095,-0.126987,-0.053475,-0.078250
24.000,1.05711,1,1.453e-09,1.060000,1.030000,0.996264,0.956868,1.042000,1.025000,1.037000,1.005650,0.960274,0.950354,0.979736,1.047000,1.022968,1.043000,1.007387,0.987101,1.011265,1.025080,0.981613,0.994233,0.000000,-0.051573,-0.139979,-0.117742,-0.094871,-0.020391,-0.116431,-0.133773,-0.020460,-0.192264,-0.168657,-0.064269,-0.075581,-0.083656,-0.043216,-0.205778,-0.064995,-0.125006,-0.052291,-0.076939
25.000,1.04574,1,6.016e-10,1.060000,1.030000,0.997718,0.958025,1.042000,1.025000,1.037000,1.006563,0.961957,0.952641,0.980423,1.047000,1.023938,1.043000,1.007793,0.987681,1.011745,1.025218,0.982137,0.994767,0.000000,-0.050917,-0.138206,-0.116318,-0.093815,-0.019821,-0.115102,-0.132225,-0.019875,-0.189943,-0.166352,-0.063422,-0.074252,-0.082670,-0.042677,-0.203299,-0.064254,-0.123581,-0.051379,-0.076030
26.000,1.03642,1,2.578e-10,1.060000,1.030000,0.998897,0.958989,1.042000,1.025000,1.037000,1.007307,0.963385,0.954580,0.980963,1.047000,1.024781,1.043000,1.008144,0.988163,1.012121,1.025314,0.982554,0.995205,0.000000,-0.050382,-0.136777,-0.115144,-0.092837,-0.019395,-0.113832,-0.130963,-0.019444,-0.187891,-0.164557,-0.062742,-0.073210,-0.081664,-0.042055,-0.201250,-0.063416,-0.122187,-0.050681,-0.075076
27.000,1.02133,1,1.564e-09,1.060000,1.030000,1.000746,0.960479,1.042000,1.025000,1.037000,1.008500,0.965725,0.957678,0.981848,1.047000,1.026179,1.043000,1.008695,0.988906,1.012742,1.025484,0.983253,0.995908,0.000000,-0.049543,-0.134521,-0.113313,-0.091357,-0.018689,-0.111953,-0.128935,-0.018737,-0.184695,-0.161597,-0.061674,-0.071523,-0.080223,-0.041219,-0.198060,-0.062281,-0.120153,-0.049519,-0.073730
28.000,1.01227,1,1.949e-10,1.060000,1.030000,1.001845,0.961409,1.042000,1.025000,1.037000,1.009217,0.967102,0.959506,0.982378,1.047000,1.026987,1.043000,1.009020,0.989364,1.013125,1.025585,0.983676,0.996332,0.000000,-0.049036,-0.133175,-0.112200,-0.090471,-0.018263,-0.110824,-0.127712,-0.018307,-0.182795,-0.159816,-0.061028,-0.070505,-0.079358,-0.040712,-0.196134,-0.061615,-0.118928,-0.048817,-0.072922
29.000,0.99873,1,9.732e-10,1.060000,1.030000,1.003490,0.962772,1.042000,1.025000,1.037000,1.010269,0.969173,0.962205,0.983152,1.047000,1.028228,1.043000,1.009500,0.990038,1.013663,1.025721,0.984309,0.996954,0.000000,-0.048275,-0.131162,-0.110527,-0.089095,-0.017638,-0.109044,-0.125915,-0.017684,-0.179922,-0.157203,-0.060047,-0.069025,-0.077960,-0.039841,-0.193209,-0.060465,-0.116980,-0.047779,-0.071600
