t_sec,kind,file,mode,style,factor,type,loc1,loc2,sigma,clean_value,bad_value,error,error_sigmas,pos
45.000,pmu,pmu/pmu_t00045_00.dat,transient,scale,-24.522263710575473,Iang,14,20,0.000485,-0.98944,24.263308605791796,25.252748605791794,52067.52289853978,43
45.000,scada,scada/scada_t00045_00.dat,persistent,scale,17.167546295960953,Qinj,18,,0.023375,0.76983,13.21609216501962,12.44626216501962,532.4604134767752,57
45.000,scada,scada/scada_t00045_00.dat,transient,scale,10.550583074980985,Qinj,15,,0.017641,-0.31975,-3.3735489382251695,-3.0537989382251696,-173.1080402599155,54
46.000,pmu,pmu/pmu_t00046_00.dat,persistent,negate,-1.0,Iang,5,10,0.000185,-1.14527,1.14527,2.29054,12381.297297297298,34
47.000,pmu,pmu/pmu_t00047_00.dat,persistent,negate,-1.0,Iang,5,10,0.000185,-1.14505,1.14505,2.2901,12378.918918918918,34
47.000,pmu,pmu/pmu_t00047_00.dat,transient,negate,-1.0,Iang,20,18,0.000193,0.44404,-0.44404,-0.88808,-4601.4507772020725,39
48.000,pmu,pmu/pmu_t00048_00.dat,persistent,negate,-1.0,Iang,5,10,0.000185,-1.14522,1.14522,2.29044,12380.756756756757,34
49.000,pmu,pmu/pmu_t00049_00.dat,persistent,negate,-1.0,Iang,5,10,0.000185,-1.1473,1.1473,2.2946,12403.243243243243,34
49.000,pmu,pmu/pmu_t00049_00.dat,transient,negate,-1.0,Iang,5,1,0.00026,2.34325,-2.34325,-4.6865,-18025.0,31
50.000,pmu,pmu/pmu_t00050_00.dat,persistent,negate,-1.0,Iang,5,10,0.000185,-1.14755,1.14755,2.2951,12405.945945945947,34
50.000,scada,scada/scada_t00050_00.dat,persistent,scale,17.167546295960953,Qinj,18,,0.023375,0.78935,13.551202668716778,12.761852668716777,545.9616114959049,57
50.000,scada,scada/scada_t00050_00.dat,transient,scale,20.422819930344964,Pinj,2,,0.017923,1.13612,23.20277417926352,22.066654179263523,1231.1919979503164,21
51.000,pmu,pmu/pmu_t00051_00.dat,persistent,negate,-1.0,Iang,5,10,0.000185,-1.14866,1.14866,2.29732,12417.945945945947,34
52.000,pmu,pmu/pmu_t00052_00.dat,persistent,negate,-1.0,Iang,5,10,0.000185,-1.15067,1.15067,2.30134,12439.675675675677,34
52.000,pmu,pmu/pmu_t00052_00.dat,transient,negate,-1.0,Iang,14,17,0.000183,-1.97183,1.97183,3.94366,21550.05464480874,38
53.000,pmu,pmu/pmu_t00053_00.dat,persistent,negate,-1.0,Iang,5,10,0.000185,-1.15285,1.15285,2.3057,12463.243243243243,34
54.000,pmu,pmu/pmu_t00054_00.dat,persistent,negate,-1.0,Iang,5,10,0.000185,-1.15574,1.15574,2.31148,12494.486486486487,34
55.000,pmu,pmu/pmu_t00055_00.dat,persistent,negate,-1.0,Iang,5,10,0.000185,-1.15764,1.15764,2.31528,12515.027027027027,34
55.000,pmu,pmu/pmu_t00055_00.dat,transient,negate,-1.0,Vang,2,,0.000115,-0.04475,0.04475,0.0895,778.2608695652174,7
55.000,scada,scada/scada_t00055_00.dat,persistent,scale,17.167546295960953,Qinj,18,,0.023375,0.82726,14.202024348796659,13.374764348796658,572.1824320340817,57
56.000,pmu,pmu/pmu_t00056_00.dat,persistent,negate,-1.0,Iang,5,10,0.000185,-1.15902,1.15902,2.31804,12529.945945945945,34
57.000,pmu,pmu/pmu_t00057_00.dat,persistent,negate,-1.0,Iang,5,10,0.000185,-1.1618,1.1618,2.3236,12560.0,34
58.000,pmu,pmu/pmu_t00058_00.dat,persistent,negate,-1.0,Iang,5,10,0.000185,-1.16718,1.16718,2.33436,12618.162162162163,34
59.000,pmu,pmu/pmu_t00059_00.dat,persistent,negate,-1.0,Iang,5,10,0.000185,-1.1701,1.1701,2.3402,12649.729729729728,34
60.000,pmu,pmu/pmu_t00060_00.dat,persistent,negate,-1.0,Iang,5,10,0.000185,-1.17277,1.17277,2.34554,12678.594594594595,34
60.000,pmu,pmu/pmu_t00060_00.dat,transient,negate,-1.0,Imag,8,1,0.000344,2.26141,-2.26141,-4.52282,-13147.732558139534,18
60.000,scada,scada/scada_t00060_00.dat,persistent,scale,17.167546295960953,Qinj,18,,0.023375,0.85849,14.738166819619519,13.879676819619519,593.78296554522,57
